Country,Region-Geo,Continent,Region,Year,IncomePerPerson,LifeExpectancy,PopulationTotal
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1952,3662.265789,54.472,6433126
Maldives,Asia - Southern,Asia,South Asia,1952,953.8508394,32.887,77940
Mali,Africa - Western,Africa,Sub-Saharan Africa,1952,904.6739615,26.856,4750451
Malta,Europe - Southern,Europe,Europe & Central Asia,1952,4281.065628,65.738,313514
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1952,5690.814301,,13432
Martinique,America - Central,Central and South America,America,1952,6712.238127,55.228,228328
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1952,1486.231819,38.28,688526
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1952,3935.911414,49.636,521087
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1952,,46.677,16468
Mexico,America - Central,Central and South America,America,1952,6956.251058,50.21,29465877
Monaco,Europe - Western,Europe,Europe & Central Asia,1952,23395.97233,,19846
Mongolia,Asia - Eastern,Asia,East Asia & Pacific,1952,1573.133715,42.917,808494
Montenegro,Europe - Southern,Europe,Europe & Central Asia,1952,5295.171203,59.556,407165
Montserrat,America - Central,Central and South America,America,1952,6989.053111,,14481
Morocco,Africa - Northern,Africa,Middle East & North Africa,1952,3376.40714,45.498,9390159
Mozambique,Africa - Eastern,Africa,Sub-Saharan Africa,1952,937.0520761,31.034,6636035
Myanmar,Asia - South Eastern,Asia,East Asia & Pacific,1952,1014.637713,35.513,17786203
Namibia,Africa - Southern,Africa,Sub-Saharan Africa,1952,4847.560886,41.386,504551
Nauru,Oceania,Oceania,East Asia & Pacific,1952,6510.019241,,3191
Nepal,Asia - Southern,Asia,South Asia,1952,1091.731446,35.204,8512546
Netherlands,Europe - Western,Europe,Europe & Central Asia,1952,15128.3374,72.13,10275906
Netherlands Antilles,Europe - Western,Europe,America,1952,10554.35603,60.02,116172
New Caledonia,Oceania,Oceania,East Asia & Pacific,1952,20881.80491,50.343,64453
New Zealand,Oceania,Oceania,East Asia & Pacific,1952,21113.15131,69.39,1992618
Nicaragua,America - Central,Central and South America,America,1952,6224.727896,41.975,1370643
Niger,Africa - Western,Africa,Sub-Saharan Africa,1952,1523.758752,34.94,2609713
Nigeria,Africa - Western,Africa,Sub-Saharan Africa,1952,1077.281856,33.818,39203265
Niue,Oceania,Oceania,East Asia & Pacific,1952,,,4686
North Korea,Asia - Eastern,Asia,East Asia & Pacific,1952,,,
Northern Mariana Islands,Oceania,Oceania,East Asia & Pacific,1952,4599.831287,,7222
Norway,Europe - Northern,Europe,Europe & Central Asia,1952,9126.134151,72.67,3332263
Oman,Asia - Western,Asia,Middle East & North Africa,1952,1828.230307,35.6,472021
Pakistan,Asia - Southern,Asia,South Asia,1952,684.5971438,37.838,38809200
Palau,Oceania,Oceania,East Asia & Pacific,1952,10023.43893,,7620
Panama,America - Central,Central and South America,America,1952,2480.380334,56.53,903447
Papua New Guinea,Oceania,Oceania,East Asia & Pacific,1952,997.9948459,34.434,1750891
Paraguay,America - South,Central and South America,America,1952,1952.308701,62.68,1551186
Peru,America - South,Central and South America,America,1952,3758.523437,43.674,8020389
Philippines,Asia - South Eastern,Asia,East Asia & Pacific,1952,1272.880995,55.262,19748049
Poland,Europe - Eastern,Europe,Europe & Central Asia,1952,4029.329699,60.828,25919296
Portugal,Europe - Southern,Europe,Europe & Central Asia,1952,3068.319867,59.82,8475340
Puerto Rico,America - Central,Central and South America,America,1952,3081.959785,63.034,2212854
Qatar,Asia - Western,Asia,Middle East & North Africa,1952,6922.532856,54.844,29819
Romania,Europe - Eastern,Europe,Europe & Central Asia,1952,3144.613186,60.962,16856828
Russian Federation,Europe - Eastern,Europe,Europe & Central Asia,1952,5180.700203,64.243,105950299
Rwanda,Africa - Eastern,Africa,Sub-Saharan Africa,1952,493.3238752,39.849,2187504
Saint Helena,Africa - Western,Africa,Sub-Saharan Africa,1952,1661.422609,,5009
Saint Kitts and Nevis,America - Central,Central and South America,America,1952,2275.58846,,46509
Saint Lucia,America - Central,Central and South America,America,1952,1516.180463,52.313,84828
Saint Vincent and the Grenadines,America - Central,Central and South America,America,1952,1743.067579,50.702,69265
Saint-Pierre-et-Miquelon,America - North,North America,America,1952,,,4634
Samoa,Oceania,Oceania,East Asia & Pacific,1952,2841.529218,45.669,86410
San Marino,Europe - Southern,Europe,Europe & Central Asia,1952,10397.34477,,13089
Sao Tome and Principe,Africa - Central,Africa,Sub-Saharan Africa,1952,879.5835855,46.159,58460
Saudi Arabia,Asia - Western,Asia,Middle East & North Africa,1952,6459.554823,41.699,3274903
Senegal,Africa - Western,Africa,Sub-Saharan Africa,1952,1450.356983,35.253,2513702
Serbia,Europe - Southern,Europe,Europe & Central Asia,1952,3581.459448,58.873,6942216
Seychelles,Africa - Eastern,Africa,Sub-Saharan Africa,1952,4913.363077,57.852,37451
Sierra Leone,Africa - Western,Africa,Sub-Saharan Africa,1952,879.7877358,28.712,1946495
